CODLOCAL | DESCRLOCAL         | LOCAL_PATH                                       | LOCAL_PATH_CODES     | LOCAL_DEPTH | CODPROD | DESCRPROD                                | UNIDADE | MARCA      | NCM      | TOTAL_ESTOQUE     
---------+--------------------+--------------------------------------------------+----------------------+-------------+---------+------------------------------------------+---------+------------+----------+-------------------
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2779    | ABRACADEIRA 73MM ACO INOX CANALETA       | MM      | GENERICO   | 73261900 | 15                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5296    | ABRACADEIRA CANO INJETOR 3 CANOS MB      | MM      | GENERICO   | 73261900 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13749   | ABRACADEIRA CRUZETA CARDAN               | MM      | GENERICO   | 87089990 | 8                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6565    | ABRACADEIRA CRUZETA CARDAN MB 6959957010 | MM      | MERCEDES B | 87089990 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3803    | ABRACADEIRA ESCAPE 75-95MM INOX MB       | MM      | GENERICO   | None     | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11768   | ABRACADEIRA ESPELHO RETROVISOR           | MM      | GENERICO   | 73261900 | 11                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7393    | ABRACADEIRA FILTRO AR 2S0129142A         | MM      | MERCEDES B | None     | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13168   | ABRACADEIRA LATAO BIPARTIDA              | MM      | GENERICO   | 73261900 | 9                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6400    | ABRACADEIRA MANGUEIRA TORRE 1360386      | MM      | HYSTER     | 87088000 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2213    | ABRACADEIRA NYLON                        | MM      | GENERICO   | 39269090 | 28930             
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2525    | ABRACADEIRA ROSCA SEM FIM 14MM           | MM      | GENERICO   | 73261900 | 1162              
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2521    | ABRACADEIRA ROSCA SEM FIM FITA 9MM       | MM      | GENERICO   | 73261900 | 365               
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2780    | ABRACADEIRA TIPO T TUCHO                 | MM      | GENERICO   | 73261900 | 40                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 8148    | ABRACADEIRA TUBO FLEX VW 2S2253143B      | MM      | GENERICO   | 73261900 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2778    | ABRACADEIRA TUBO FLEXIVEL ESCAPE VOLKSWA | MM      | GENERICO   | 73261900 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7072    | ACABAMENTO COLUNA FRONTAL XCMG           | MM      | XCMG       | 40103100 | 1                 
