CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
---------+---------+--------------------+------------------------------------------+-------------+--------------------------------------------------+----------------------+------------+----------+--------------------+--------
101000   | None    | ALMOX MANUTENCAO   | None                                     | 1           | GIGANTÃO > ALMOX MANUTENCAO                      | 100000.101000        |            |          | 0                  |        
101001   | 2779    | ALMOX PECAS        | ABRACADEIRA 73MM ACO INOX CANALETA       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 15                 | MM     
101001   | 5296    | ALMOX PECAS        | ABRACADEIRA CANO INJETOR 3 CANOS MB      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 3                  | MM     
101001   | 13749   | ALMOX PECAS        | ABRACADEIRA CRUZETA CARDAN               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089990 | 8                  | MM     
101001   | 6565    | ALMOX PECAS        | ABRACADEIRA CRUZETA CARDAN MB 6959957010 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87089990 | 2                  | MM     
101001   | 3803    | ALMOX PECAS        | ABRACADEIRA ESCAPE 75-95MM INOX MB       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | None     | 2                  | MM     
101001   | 11768   | ALMOX PECAS        | ABRACADEIRA ESPELHO RETROVISOR           | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 11                 | MM     
101001   | 7393    | ALMOX PECAS        | ABRACADEIRA FILTRO AR 2S0129142A         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | None     | 5                  | MM     
101001   | 13168   | ALMOX PECAS        | ABRACADEIRA LATAO BIPARTIDA              | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73261900 | 9                  | MM     
