NUNOTA,DTNEG,CODPROD,DESCRPROD,CONTROLE,QTDNEG,VLRUNIT,ESTOQUE_ATUAL
"235972","30/08/2025","2233","LIMPA RADIADOR","","5","16.5","10"
"235969","30/08/2025","3165","RETALHO DE PANO PARA OFICINA","","30","6.175","153"
"235957","30/08/2025","2224","NÍVEL BOLHA MODELO T","","6","17.85","7"
"235920","30/08/2025","7672","LONA PLASTICA PRETA","4X50 MTS","10","5.1","55"
"235880","29/08/2025","2531","TRAVA R","2,5X60","20","2","803"
"235880","29/08/2025","2531","TRAVA R","4X70","20","2","803"
"235873","29/08/2025","2652","DISCO DE CORTE 7""","","25","6.5","26"
"235814","29/08/2025","3275","PORCA DUPLA","3/4","2","5","15"
"235775","29/08/2025","3188","CONEXÃO 90º TANQUE COMBUSTIVEL MERCEDES","","1","29.5","0"
"235741","29/08/2025","13999","MOLA PEDAL ACELERADOR MB 3449937010","","1","6","1"
"235733","29/08/2025","2378","PORCA SEXTAVADA","M14","10","0.555","6639"
"235733","29/08/2025","2364","PARAFUSO SEXTAVADO ROSCA TOTAL","14X80","10","3.946","8260"
"235716","29/08/2025","14004","MANOPLA CAMBIO C/ REDUZIDA BC457213CA","","1","70","1"
"235693","29/08/2025","11055","DIFUSOR AR DO PAINEL DA CABINE XCMG","","2","100","20"
"235687","29/08/2025","11055","DIFUSOR AR DO PAINEL DA CABINE XCMG","","2","100","20"
"235681","29/08/2025","11055","DIFUSOR AR DO PAINEL DA CABINE XCMG","","2","100","20"
"235663","29/08/2025","3183","FITA DUPLA FACE ACRILICA TRANSPARENTE 3M","19MMX20MT","1","77","7"
"235641","29/08/2025","3188","CONEXÃO 90º TANQUE COMBUSTIVEL MERCEDES","","1","29.5","0"
"235635","29/08/2025","2415","ARRUELA LISA FERRO","M10","50","0.15","9301"
"235635","29/08/2025","2415","ARRUELA LISA FERRO","M6","100","0.1","9301"
"235635","29/08/2025","2415","ARRUELA LISA FERRO","M8","100","0.08","9301"
"235600","29/08/2025","2416","ARRUELA DE PRESSAO","M10","50","0.23","1635"
"235600","29/08/2025","2416","ARRUELA DE PRESSAO","M12","50","0.36","1635"
"235600","29/08/2025","2416","ARRUELA DE PRESSAO","M8","50","0.25","1635"
"235560","29/08/2025","2378","PORCA SEXTAVADA","M6","100","0.065","6639"
"235560","29/08/2025","2378","PORCA SEXTAVADA","M8","100","0.14","6639"
"235526","29/08/2025","9711","ARRUELA 4533007851741","","30","0.0827","0"
"235526","29/08/2025","2213","ABRACADEIRA NYLON","150MMX3,6","100","0.075","28930"
"235526","29/08/2025","14000","PARAFUSO C/ BUCHA","S6","30","0.078","0"
"235429","29/08/2025","13694","BASE INFERIOR SYM5450J.4.5.1 SANY 114488","","1","1640.67","0"
"235380","29/08/2025","11441","ROLAMENTO NSK B17-99T1XDDG","","2","69","3"
"235360","29/08/2025","13991","PARAFUSO  CADEIRINHA AÇO 10.9","M30X260X2R","4","85.5","4"
"235360","29/08/2025","2414","PORCA TRAVANTE PARLOCK","M30X2,0","4","11.4","294"
"235347","29/08/2025","13999","MOLA PEDAL ACELERADOR MB 3449937010","","1","6","1"
"235345","29/08/2025","2378","PORCA SEXTAVADA","M10","2","0.6","6639"
"235345","29/08/2025","3214","DIAFRAGMA CUICA DE FREIO BINS","27 - 7""1/2","1","98.8","23"
"235345","29/08/2025","3214","DIAFRAGMA CUICA DE FREIO BINS","30 - 8""","1","24","23"
"235345","29/08/2025","4767","PARAFUSO SEXTAVADO ROSCA PARCIAL","M10X50","2","1.8","162"
"235345","29/08/2025","8696","JOGO REPARO CUICA FREIO 24X30 / 30X30","","1","99","1"
"235345","29/08/2025","9380","MOLA CUICA PQ CONICA","","1","58.7","2"
"235339","29/08/2025","7478","FILTRO AR CONDICIONADO TECFIL ACP303","","1","15.2","2"
"235339","29/08/2025","13993","FILTRO AR TECFIL ART6098","","2","19.7","0"
"235334","29/08/2025","8732","ANEMOMETRO TRASMISSAO SEM FIO","","1","1300","1"
"235803","28/08/2025","13983","MAÇANETA EXT. DIRETA GM 52160780","","1","30","1"
"235418","28/08/2025","3537","RODA DE LIXA COM HASTE","50MMX20MM","3","8","3"
"235418","28/08/2025","6708","ESCOVA CIRCULAR ACO P/ FURADEIRA","75MM","2","16.5","11"
"235296","28/08/2025","13982","SONDA LAMBDA PÓS CATALIZADO 12643708","","1","229.2","1"
"235292","28/08/2025","8821","MACANETA EXTERNA PORTA LADO DIREITO","","1","150","1"
"235239","28/08/2025","2197","DESCARBONIZANTE SPRAY","","6","13.25","17"
"235239","28/08/2025","2194","DESENGRIPANTE ANTIFERRUGEM SPRAY","","8","8.75","10"
"235239","28/08/2025","4090","LIMPA CONTATO ELETRICO SPRAY MUNDIAL PRI","","8","12.25","10"
